No. of Epochs,Training Error
989,0.0252123
990,0.0252112
991,0.0252102
992,0.0252091
993,0.025208
994,0.025207
995,0.0252059
996,0.0252048
997,0.0252038
998,0.0252027
999,0.0252016
1000,0.0252006
