Left_Distance_Reading,Right_Distance_Reading,Left_Motor_Speed,Right_Motor_Speed
0.122394698,0.361841418,0,0.531436921
0.120587043,0.335838825,0,0.521429896
0.032451274,0.535244464,0.045708489,0.104354339
0.119281864,0.208787582,0,0.514206635
0.115487901,0.65034496,0,0.493204954
0.040555609,0.388520636,0,0.104354339
0.116770608,0.38922397,0,0.500307182
0.114716883,0.317246467,0,0.488934903
0.099252264,0.273509169,0,0.403330543
0.05995689,0.091158644,0.463414634,0.112352212
0.024020644,0.224952399,0.293625959,0.104354339
0.113507435,0.626615591,0,0.482244188
0.118343429,0.269722441,0,0.50901189
0.114103395,0.523943634,0,0.485541132
0.112269448,0.180351513,0,0.475388868
0.116318694,0.261899703,0,0.497804216
0.111778882,0.361808774,0,0.472672883
0.03498298,0.590205433,0,0.104354339
0.11083056,0.223035294,0,0.467424883
0.06555289,0.092538603,0.425764785,0.141598674
0.112521584,0.95574633,0,0.47678317
0.117020722,0.39899349,0,0.501691802
0.115973747,0.238256396,0,0.495896733
0.070506188,0.068563216,0.617929044,0.124092433
0.036020067,0.578379328,0,0.104354339
0.104220618,0.108388848,0.169074257,0.364469204
0.115289697,0.650187674,0,0.492105973
0.116728135,0.341032222,0,0.500069957
0.114082271,0.385561884,0,0.48542494
0.108546946,0.286335373,0,0.454784176
0.058715082,0.098153406,0.398674039,0.117237112
0.117809268,0.387668919,0,0.506053838
0.103286454,0.198926065,0,0.425663589
0.040641003,0.774570996,0,0.104354339
0.033607013,0.56611401,0.011716462,0.104354339
0.037895138,0.617991586,0,0.104354339
0.107927615,0.216108787,0,0.451356516
0.115159359,0.264098735,0,0.491384615
0.027199546,0.415232498,0.200151457,0.104354339
0.029324507,0.512349006,0.137654136,0.104354339
0.034577134,0.366384898,0,0.104354339
0.091934227,0,0.944904054,0.080176747
0.030891935,0.321653435,0.091559861,0.104354339
0.116536673,0.8372449,0,0.499009706
0.030613506,0.771208643,0.099761384,0.104354339
0.114296655,0.350291305,0,0.486611066
0.120347041,0.308284149,0,0.520103372
0.10989617,0.330565303,0,0.462249504
0.110523815,0.266199835,0,0.465725577
0.114132384,0.454657794,0,0.485700896
0.109564032,0.25164052,0,0.46041464
0.056482479,0.411024363,0,0.166579926
0.044227099,0.447369233,0,0.104354339
0.119549731,0.343575502,0,0.515688081
0.030386538,0.517156607,0.106434052,0.104354339
0.029476418,0.310049904,0.133196165,0.104354339
