Left_Distance_Reading,Right_Distance_Reading,Left_Motor_Speed,Right_Motor_Speed
0.105641863,0.367069201,0.003194562,0.455931626
0.043032245,0.658071427,0.003194562,0.124500729
0.102225816,0.170849597,0.003194562,0.437224336
0.114295568,0.689916241,0.003194562,0.503317432
0.118237468,0.365211759,0.003194562,0.524902039
0.113209219,0.704215598,0.003194562,0.49736877
0.208084637,0.355087225,0.003194562,1
0.117309008,0.449563221,0.003194562,0.519814678
0.029818407,0.530530011,0.114774208,0.124500729
0.115709242,0.257029018,0.003194562,0.511054953
0.047984992,0.375572159,0.003194562,0.140217124
0.042371598,0.403363032,0.003194562,0.124500729
0.162492633,0.369153664,0.003194562,0.767230772
0.060647439,0.526841661,0.003194562,0.209556666
0.130954321,0.185650168,0.003194562,0.594534992
0.104487118,0.337857237,0.003194562,0.449609101
0.030448854,0.814886721,0.098009149,0.124500729
0.103913076,0.233230172,0.003194562,0.446466769
0.052958835,0.126916667,0.131807611,0.14790732
0.116915507,0.352085834,0.003194562,0.517661423
0.076003773,0.074498174,0.499744435,0.175014671
0.094187235,0.098760202,0.252204247,0.306472069
0.102486522,0.351661276,0.003194562,0.438653529
0.033945733,0.565143299,0.004932403,0.124500729
0.12069863,0.217132339,0.003194562,0.538375263
0.117685411,0.240825046,0.003194562,0.521878017
0.115871573,0.429723969,0.003194562,0.51194465
0.034179125,0.368693726,0.003194562,0.124500729
0.032649976,0.348656937,0.03942089,0.124500729
0.03223671,0.283826307,0.05042296,0.124500729
0.035945663,0.478226797,0.003194562,0.124500729
0.081610283,0.081091209,0.42166935,0.212419785
0.119686451,0.454522297,0.003194562,0.532833589
0.052744985,0.61088355,0.003194562,0.16628334
0.05493789,0.44066224,0.003194562,0.178289511
0.052296855,0.405117283,0.003194562,0.16382721
0.117249051,0.394774573,0.003194562,0.519488141
0.116327475,0.511047506,0.003194562,0.514443372
0.117599693,0.133488474,0.030450561,0.504590456
0.034931486,0.304267016,0.003194562,0.124500729
0.083734348,0.079955516,0.418564236,0.219949079
0.113628258,0.700972445,0.003194562,0.499659265
0.037334022,0.602315729,0.003194562,0.124500729
0.120109266,0.370123661,0.003194562,0.535147746
0.023216818,0.201025662,0.290475095,0.124500729
0.068585202,0.674776613,0.003194562,0.253019289
0.067218605,0.079336074,0.509749802,0.143790107
0.114868721,0.353044038,0.003194562,0.506455032
0.111905911,0.988846502,0.003194562,0.490232268
0.035971423,0.303503401,0.003194562,0.124500729
0.119089315,0.375940699,0.003194562,0.529563481
0.116231542,0.352737413,0.003194562,0.513918072
