Left_Distance_Reading,Right_Distance_Reading,Left_Motor_Speed,Right_Motor_Speed
0.144982216,0.244349908,0,0.480135387
0.113593574,0.084707774,0.375445711,0.233768112
0.112675687,0.079861097,0.413241977,0.220597611
0.016791571,0.111244112,0.845221282,0.062454185
0.046005073,0.379541993,0,0.098911729
0.086200471,0.08092805,0.516143466,0.124824105
0.071266595,0.544323063,0,0.156094304
0.030061066,0.194814695,0.317150248,0.098911729
0.093041914,0.307322485,0,0.251814232
0.142686361,0.641024466,0,0.470043199
0.074456137,0.399482267,0,0.170117185
0.14782755,0.237207123,0,0.492643467
0.146833078,0.237293432,0,0.488269535
0.072640578,0.432728955,0,0.16213403
0.118633693,0.106256068,0.212570789,0.297599257
0.164575562,0.178329743,0,0.566264814
0.148630701,0.36883972,0,0.496174759
0.16558797,0.391113304,0,0.570716677
0.149239968,0.264436015,0,0.49885367
0.041848676,0.46286853,0.04938824,0.098911729
0.140720194,0.354595817,0,0.461402493
0.147270099,0.339985845,0,0.490193481
0.148659171,0.444392527,0,0.496301398
1,0.411303576,0,1
0.118607215,0.106622135,0.210207649,0.298251937
0.099650184,0.751511443,0,0.280863369
0.149265022,0.366205818,0,0.498960826
0.038773301,0.314792648,0.11924771,0.098911729
0.148648922,0.740713933,0,0.49625269
0.090801576,0.079596218,0.508466755,0.13951915
0.075093874,0.251948046,0,0.172917865
0.034684663,0.478118376,0.212123331,0.098911729
0.146261107,0.474924956,0,0.48575623
0.060405413,0.434788457,0,0.108351237
0.119703612,0.091637168,0.306187513,0.271170582
0.031610996,0.378306886,0.281940852,0.098911729
0.075051168,0.207109214,0,0.172732777
0.105211881,0.075387928,0.478934489,0.184519985
0.031836197,0.420964193,0.276823044,0.098911729
0.146974007,0.590376169,0,0.488892991
0.138443414,0.266269329,0,0.451393107
0.066143342,0.129401667,0.091309515,0.12094699
0.143448514,0.94903623,0,0.473394273
0.05079209,0.666402185,0,0.098911729
0.154674972,0.357929116,0,0.522744686
0.037005572,0.503088362,0.159407117,0.098911729
0.07484305,0.227106035,0,0.171817076
0.145480164,0.613236057,0,0.482322353
0.039319079,0.329896662,0.106844718,0.098911729
0.036190464,0.480612399,0.177920716,0.098911729
0.131928527,0.196561701,0,0.422753112
0.058235113,0.678030044,0,0.098911729
0.150622207,0.531165458,0,0.504927492
0.127880317,0.119845216,0.109557436,0.364635354
0.106809926,0.082543808,0.418080123,0.204173451
0.147146538,0.349920269,0,0.489647957
0.08550807,0.251864713,0,0.21869802
0.145275746,0.590277956,0,0.481426135
0.061469353,0.775796912,0,0.113027155
0.113593574,0.080442341,0.405285604,0.225156631
0.07674345,0.275912089,0,0.180170408
0.097441164,0.359033272,0,0.271151099
0.079938401,0.092833584,0.429797944,0.120859317
0.140904397,0.241388629,0,0.462211037
0.082103862,0.085502111,0.490778158,0.117162419
0.115717752,0.090408014,0.328140949,0.253392354
0.262516381,0.146398519,0,0.996795048
0.059163533,0.362036217,0,0.10289113
0.151694688,0.369729592,0,0.509642375
0.086611584,0.216844234,0,0.223549284
0.144460353,0.251331981,0,0.477841265
0.123383698,0.110491144,0.17476054,0.325727824
0.14495887,0.704577394,0,0.480033102
0.138612528,0.298644002,0,0.452138331
0.150264049,0.745788287,0,0.50335424
0.035855082,0.264561013,0.185541495,0.098911729
0.064935342,0.466493494,0,0.128262853
0.148559525,0.395515045,0,0.495863031
0.122123598,0.124005888,0.090498497,0.349521425
0.003865999,0.471591657,0.912186255,0.098911729
0.063066259,0.398276922,0,0.120045902
0.080562473,0.090622297,0.448549255,0.119670854
0.0344327,0.443199087,0.217842411,0.098911729
0.126342914,0.119264865,0.115150668,0.356949315
0.089128369,0.082753329,0.48792561,0.138793409
0.150964991,0.188160001,0,0.506437423
0.106333046,0.072766823,0.493476893,0.183540965
0.147755805,0.319765812,0,0.492326868
0.152959629,0.312637908,0,0.515204769
0.059117411,0.475984469,0,0.102691429
0.158773574,0.227781624,0,0.54076158
0.064887797,0.534192214,0,0.128053411
0.148998254,0.348098859,0,0.497786976
0.04934323,0.397169791,0,0.098911729
0.13732538,0.176195836,0,0.446478523
0.053469164,0.647985705,0,0.098911729
0.08412754,0.644735738,0,0.212629069
0.075978165,0.096583546,0.406320352,0.111512352
0.100360236,0.177853557,0,0.283985518
0.092002743,0.433821205,0,0.247245471
0.102928268,0.107583435,0.238761099,0.237192248
0.036364133,0.424574275,0.173977487,0.098911729
